word,weight,number_of_words
bercaran,-4,1
bercat,-3,1
bercedera,-4,1
bercekak,-3,1
bercekcok,-4,1
bercekit,-4,1
bercelah,-3,1
berceloteh,-4,1
bercempera,-5,1
bercengkerama,-2,1
bercerai-berai,-5,1
bercermin,4,1
bercikun-cikun,-5,1
bercintaan,-3,1
bercita rasa,3,2
bercokol,3,1
bercokol,-4,1
bercorak,-3,1
bercucuran,-5,1
bercumbu,-4,1
bercumbuan,-3,1
bercumbu-cumbu,-3,1
bercura,-4,1
berdagang,3,1
berdakwa,-4,1
berdalih,-4,1
berdampingan,-3,1
berdandan,4,1
berdansa,3,1
berdansa,-4,1
berdarah,4,1
berdarah dingin,-4,2
berdasarkan,-4,1
berdaulat,-3,1
berdaya,3,1
berdaya guna,4,2
berdebat,-5,1
berdedikasi,-3,1
berdekatan,-4,1
berdekus,-3,1
berdendang,4,1
berdengung,-3,1
berdengus,-3,1
berdenyut,2,1
berdenyut,-3,1
berderajat,4,1
berderum,-4,1
berdesakan,-3,1
berdesir,-2,1
berdiam,4,1
berdiam,-3,1
berdikit-dikit,-3,1
berdisiplin,4,1
berdoa,4,1
berdoa,-3,1
berdompol,-4,1
berdosa,-4,1
berdua,1,1
berduaan,-3,1
berduit,4,1
berduka,-5,1
berdusta,-4,1
berduyun-duyun,-3,1
beredak,-5,1
beredar,2,1
beregu,-3,1
berembuk,3,1
berengsaan,-4,1
berengsek,-5,1
berenti,-3,1
berfaedah,4,1
bergabung,-4,1
bergadang,-4,1
bergaduh,-5,1
bergairah,3,1
bergairah,-3,1
bergajul,-5,1
bergamat,4,1
bergamit,-3,1
berganda,-3,1
berganduh,-3,1
berganggang,-3,1
bergantung,4,1
bergas,5,1
bergas,-2,1
bergaul,-3,1
bergaung,-3,1
bergejolak,-3,1
bergelanggang,2,1
bergelanggang,-3,1
bergelegak,-3,1
bergelora,2,1
bergelora,-2,1
bergelut,-4,1
bergema,1,1
bergema,-4,1
bergemam,-3,1
bergembung,-3,1
bergeming,1,1
bergemuruh,-3,1
bergengsi,4,1
bergerombol,-4,1
bergerombolan berkawanan,-4,2
bergesek,-3,1
bergesel,-3,1
bergeser,-4,1
bergetar,1,1
bergetar,-3,1
bergigi,3,1
bergolak,-5,1
bergolongan,4,1
bergontok,-4,1
bergosok,-3,1
bergosokan,-3,1
bergoyah,-4,1
berguam,-4,1
berguguran,-3,1
bergulat,-4,1
bergulir,-3,1
bergumam,-3,1
bergumul,-4,1
berguna,5,1
berguncang,-5,1
bergundang,-5,1
bergurau,-4,1
bergurau senda,-4,2
berguru,3,1
berguyub,-3,1
berhajat,2,1
berhala,-4,1
berhamburan,-5,1
berhandai-handai,-3,1
berhantaran,-5,1
berhanyut,-4,1
berharap,4,1
berharap,-3,1
berharga,3,1
berharta,4,1
berhasil,3,1
berhasrat,3,1
berhati walang,-3,2
berhati-hati,3,1
berhati-hati,-2,1
berhelat,-4,1
berhenti,-2,1
berhikmah,2,1
berhimpun,-4,1
berhujah,-4,1
beri,2,1
beri,-2,1
beri uang,-2,2
beribadat,4,1
beribadat,-3,1
berikhtiar,3,1
beriktikad,2,1
berilmu,4,1
beriman,3,1
berimbas,3,1
berimbuh,1,1
beringas,-4,1
beringat,-3,1
beringsut,-3,1
berirama,4,1
beristirahat,3,1
beristirahat,-2,1
berita,-2,1
berjaga-jaga,1,1
berjarak,-4,1
berjasa,4,1
berjatuhan,1,1
berjatuhan,-3,1
berjauh hati,-3,2
berjaya,4,1
berjejak,-3,1
berjejal,-3,1
berjejal-jejal,-3,1
berjejas,-5,1
berjenis-jenis,3,1
berjihad,3,1
berjihad,-3,1
berjilbab,3,1
berjiwa,3,1
berjubal,-3,1
berjunjungan,4,1
berkabung,-5,1
berkabut,-3,1
berkaca,4,1
berkah,4,1
berkait,3,1
berkaitan,3,1
berkalang tanah,-2,2
berkandung,5,1
berkarat,-4,1
berkarut,-5,1
berkarya,3,1
berkasih-kasihan,-3,1
berkat,1,1
berkategori,4,1
berkawal,4,1
berkawan,-3,1
berkawanan,-4,1
berkeberatan,-4,1
berkecai,-5,1
berkecambah,3,1
berkecamuk,-4,1
berkecandan,-4,1
berkecenderungan,-3,1
berkecukupan,4,1
berkedudukan,4,1
berkegiatan,4,1
berkeinginan,3,1
berkejaran,-3,1
berkekuatan,5,1
berkelakar,-4,1
berkelir,-3,1
berkelok-kelok,-2,1
berkelompok-kelompok,-4,1
berkeluarga,2,1
berkeluarga,-4,1
berkemal,-4,1
berkemam,-3,1
berkemandang,-3,1
berkemas-kemas,-2,1
berkembang biak,-3,2
berkemih,-3,1
berkenaan,4,1
berkenalan,-3,1
berkenan,2,1
berkepercayaan,4,1
berkeping-keping,-5,1
berkerak,-2,1
berkeras hati,4,2
berkeras hati,-3,2
berkeras-kerasan,-4,1
berkerubung,-4,1
berkerumun,-4,1
berkerut,-2,1
berkesesuaian,3,1
berketar-ketar,-3,1
berketurunan,2,1
berkeyakinan,3,1
berkhasiat,4,1
berkhianat,-5,1
berkilah,-4,1
berkinte,3,1
berkisar,-3,1
berkobar-kobar,4,1
berkobar-kobar,-2,1
berkolusi,-5,1
berkomplot,-4,1
berkongkalikong,-4,1
berkonspirasi,-4,1
berkorban,-3,1
berkualitas,4,1
berkuasa,4,1
berkuat,3,1
berkuat,-4,1
berkukuh,2,1
berkuliah,-4,1
berkumandang,-3,1
berkunjung,-4,1
berkupak,-3,1
berkurang,-3,1
berkurangan,-3,1
berkurap,-4,1
berlaba,4,1
berlabuh,3,1
berlabuh,-4,1
